[Script generated by: Final Fantasy 3us Multi Editor, Coded by Lord J]
[FF3usME version: 6.8.0]
[File version: 1.00]
[Section: Monster Battle Scripts]

[script #0]    ; orig idx=0, "Guard", nb. bytes=6
F0 B9 B9 B4    ; Rand. spell: Giga Volt or Giga Volt or Atomic Ray
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 07 B4 E3    ; Rand. spell: <MB>Thunra or Atomic Ray or Shock Wave
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 07 B4 E3    ; Rand. spell: <MB>Thunra or Atomic Ray or Shock Wave
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 FE FE EF    ; Rand. spell: Nothing or Nothing or Special
FF             ; End

[script #269]  ; orig idx=269, "Crane", nb. bytes=112
FC 0D 01 03    ; If variable VAR001 is greater than or equal to 3
F8 01 00       ; Set VAR001 to 0
F1 31          ; Targeting: monster #2 (random ally if N/A)
05             ; <MB>Fira
FE             ; End If and reset targeting
FC 15 24 00    ; If VAR036 has all the following bit cleared: 0
FC 13 01 01    ; If 1 monster(s) or less remain
F1 36          ; Targeting: self
BF             ; TekBarrier
F9 01 24 00    ; VAR036 set bit: 0
FE             ; End If and reset targeting
FC 16 3C 00    ; If the global battle timer is greater than 60
FB 04 00       ; Sets global battle timer to 0
F3 1F 00       ; Text: " The crane shook the deck!<D>"
BC             ; Magnitude8
FE             ; End If and reset targeting
F0 EE 02 02    ; Rand. spell: Battle or <MB>Thundr or <MB>Thundr
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE 07 EF    ; Rand. spell: Battle or <MB>Thunra or Special
FF             ; End first wave of attack
FC 04 04 00    ; If monster as been attacked by element: Lightn.
FC 0D 03 02    ; If variable VAR003 is greater than or equal to 2
F3 31 00       ; Text: " Electrified LV 3"
F3 26 00       ; Text: " Unleashed electric energy!<D>"
F8 03 00       ; Set VAR003 to 0
F1 43          ; Targeting: allies
B9             ; Giga Volt
FE             ; End If and reset targeting
FC 04 04 00    ; If monster as been attacked by element: Lightn.
FC 0D 03 01    ; If variable VAR003 is greater than or equal to 1
F8 03 81       ; 1 added to VAR003
F3 2D 00       ; Text: " Electrified LV 2"
FE             ; End If and reset targeting
FC 04 04 00    ; If monster as been attacked by element: Lightn.
FC 0D 03 00    ; If variable VAR003 is greater than or equal to 0
F8 03 81       ; 1 added to VAR003
F3 2C 00       ; Text: " Electrified LV 1"
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F8 01 81       ; 1 added to VAR001
F0 FE FE EE    ; Rand. spell: Nothing or Nothing or Battle
FF             ; End

[script #270]  ; orig idx=270, "Crane", nb. bytes=112
FC 0D 00 03    ; If variable VAR000 is greater than or equal to 3
F8 00 00       ; Set VAR000 to 0
F1 30          ; Targeting: monster #1 (random ally if N/A)
07             ; <MB>Thunra
FE             ; End If and reset targeting
FC 15 24 00    ; If VAR036 has all the following bit cleared: 0
FC 13 01 01    ; If 1 monster(s) or less remain
F1 36          ; Targeting: self
BF             ; TekBarrier
F9 01 24 00    ; VAR036 set bit: 0
FE             ; End If and reset targeting
FC 16 3C 00    ; If the global battle timer is greater than 60
FB 04 00       ; Sets global battle timer to 0
F3 1F 00       ; Text: " The crane shook the deck!<D>"
BC             ; Magnitude8
FE             ; End If and reset targeting
F0 EE 00 00    ; Rand. spell: Battle or <MB>Fire or <MB>Fire
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE 05 EF    ; Rand. spell: Battle or <MB>Fira or Special
FF             ; End first wave of attack
FC 04 01 00    ; If monster as been attacked by element: Fire
FC 0D 02 02    ; If variable VAR002 is greater than or equal to 2
F3 47 00       ; Text: " Heat source LV 3"
F3 32 00       ; Text: " Unleashed thermal energy!<D>"
F8 02 00       ; Set VAR002 to 0
F1 43          ; Targeting: allies
09             ; <MB>Firaga
FE             ; End If and reset targeting
FC 04 01 00    ; If monster as been attacked by element: Fire
FC 0D 02 01    ; If variable VAR002 is greater than or equal to 1
F8 02 81       ; 1 added to VAR002
F3 46 00       ; Text: " Heat source LV 2"
FE             ; End If and reset targeting
FC 04 01 00    ; If monster as been attacked by element: Fire
FC 0D 02 00    ; If variable VAR002 is greater than or equal to 0
F8 02 81       ; 1 added to VAR002
F3 33 00       ; Text: " Heat source LV 1"
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F8 00 81       ; 1 added to VAR000
F0 FE FE EE    ; Rand. spell: Nothing or Nothing or Battle
FF             ; End

[script #271]  ; orig idx=271, "Umaro", nb. bytes=39
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE EE BA    ; Rand. spell: Battle or Battle or Blizzard
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FC 04 01 00    ; If monster as been attacked by element: Fire
F1 47          ; Targeting: use normal targeting
F0 FE EF BA    ; Rand. spell: Nothing or Special or Blizzard
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 FE FE EE    ; Rand. spell: Nothing or Nothing or Battle
FF             ; End

[script #272]  ; orig idx=272, "Umaro", nb. bytes=159
FC 15 00 00    ; If VAR000 has all the following bit cleared: 0
FC 15 00 01    ; If VAR000 has all the following bit cleared: 1
FC 06 36 50    ; If target self has less or equal than 10240 HP
F1 36          ; Targeting: self
F6 00 F8 F8    ; Use random item:  Green Cherry or  Green Cherry
FA 00 01 00    ; Monsters palette flashes to red
F3 49 00       ; Text: " D> Recovery up<D>"
FB 0B 16       ; Monster gains hidden status: Safe
FB 0B 15       ; Monster gains hidden status: Shell
FB 0B 13       ; Monster gains hidden status: Haste
FB 0B 11       ; Monster gains hidden status: Regen
F9 01 00 00    ; VAR000 set bit: 0
FE             ; End If and reset targeting
FC 0D 24 03    ; If variable VAR036 is greater than or equal to 3
F4 16 16 16    ; Rand. cmd.: Jump or Jump or Jump
F8 24 00       ; Set VAR036 to 0
FE             ; End If and reset targeting
FC 13 00 02    ; If 2 ally(ies) or more remain
FC 0B 28 00    ; If timer has reached/passed 40 (locks timer)
FB 00 00       ; has battle timer set to 0
F0 73 74 E8    ; Rand. spell: Snowball or Surge or Lode Stone
FE             ; End If and reset targeting
FC 13 00 02    ; If 2 ally(ies) or more remain
F0 EE EE BA    ; Rand. spell: Battle or Battle or Blizzard
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FE             ; End If and reset targeting
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FC 15 00 00    ; If VAR000 has all the following bit cleared: 0
FC 15 00 01    ; If VAR000 has all the following bit cleared: 1
FC 03 F8 F8    ; If monster has been affected by item:  Green Cherry or  Green Cherry, will target attacker
FA 00 01 00    ; Monsters palette flashes to red
F3 49 00       ; Text: " D> Recovery up<D>"
FB 0B 16       ; Monster gains hidden status: Safe
FB 0B 15       ; Monster gains hidden status: Shell
FB 0B 13       ; Monster gains hidden status: Haste
FB 0B 11       ; Monster gains hidden status: Regen
F9 01 00 01    ; VAR000 set bit: 1
FE             ; End If and reset targeting
FC 01 02 02    ; If monster has been attacked by cmd: Magic or Magic, will target attacker
F8 24 81       ; 1 added to VAR036
FE             ; End If and reset targeting
FC 04 01 00    ; If monster as been attacked by element: Fire
F0 FE EF BA    ; Rand. spell: Nothing or Special or Blizzard
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 FE FE EF    ; Rand. spell: Nothing or Nothing or Special
FF             ; End

[script #273]  ; orig idx=273, "Guardian", nb. bytes=43
FC 15 00 00    ; If VAR000 has all the following bit cleared: 0
FB 01 36       ; Target self becomes invincible
F3 30 00       ; Text: " Won't let you pass!!<D>"
F9 01 00 00    ; VAR000 set bit: 0
FE             ; End If and reset targeting
FF             ; End first wave of attack
FC 01 00 00    ; If monster has been attacked by cmd: Fight or Fight, will target attacker
FC 0D 01 02    ; If variable VAR001 is greater than or equal to 2
F8 01 00       ; Set VAR001 to 0
F3 2F 00       ; Text: " No use!<D>"
FE             ; End If and reset targeting
FC 01 00 00    ; If monster has been attacked by cmd: Fight or Fight, will target attacker
F8 01 81       ; 1 added to VAR001
F3 2E 00       ; Text: " No use!<D>"
EE             ; Battle
FF             ; End

[script #274]  ; orig idx=274, "Guardian", nb. bytes=290
FC 14 24 01    ; If VAR036 has all the following bit set: 1
F3 82 00       ; Text: " Included battle program!<D>"
F3 7E 00       ; Text: " Ran Ultros's battle program!<D>"
F0 EE D0 D0    ; Rand. spell: Battle or Tentacle or Tentacle
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE B0 EF    ; Rand. spell: Battle or Entwine or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE 9F EF    ; Rand. spell: Battle or Stone or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
B0             ; Entwine
F9 02 24 01    ; VAR036 clear bit: 1
F9 02 00 00    ; VAR000 clear bit: 0
FE             ; End If and reset targeting
FC 14 24 02    ; If VAR036 has all the following bit set: 2
F3 82 00       ; Text: " Included battle program!<D>"
F3 7F 00       ; Text: " Ran battle program!<D>"
F0 EE E3 E3    ; Rand. spell: Battle or Shock Wave or Shock Wave
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE E3 E3    ; Rand. spell: Battle or Shock Wave or Shock Wave
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F6 01 01 2B    ; Throw random item: <WD>MithrilKnife or <WK>Ashura
F6 00 E8 E9    ; Use random item:  Potion or  Hi-Potion
F6 00 E8 E9    ; Use random item:  Potion or  Hi-Potion
F6 00 E8 E9    ; Use random item:  Potion or  Hi-Potion
F1 36          ; Targeting: self
BF             ; TekBarrier
F9 02 24 02    ; VAR036 clear bit: 2
F9 02 00 00    ; VAR000 clear bit: 0
FE             ; End If and reset targeting
FC 14 24 03    ; If VAR036 has all the following bit set: 3
F3 82 00       ; Text: " Included battle program!<D>"
F3 80 00       ; Text: " Ran Air Force's battle program!<D>"
F0 B5 B6 B6    ; Rand. spell: Tek Laser or Diffuser or Diffuser
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 B5 B6 B6    ; Rand. spell: Tek Laser or Diffuser or Diffuser
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 B5 CD CD    ; Rand. spell: Tek Laser or Launcher or Launcher
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F3 67 00       ; Text: " Count 3!<D> "
F3 3C 00       ; Text: " Count 2!<D>"
F3 45 00       ; Text: " Count 1!<D>"
B7             ; WaveCannon
F9 02 24 03    ; VAR036 clear bit: 3
F9 02 00 00    ; VAR000 clear bit: 0
FE             ; End If and reset targeting
FC 14 24 04    ; If VAR036 has all the following bit set: 4
F3 82 00       ; Text: " Included battle program!<D>"
F3 81 00       ; Text: " Ran Atma's battle program!<D>"
F0 0F DF DF    ; Rand. spell: <MB>Flare or Meteo or Meteo
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE 0F 0F    ; Rand. spell: Battle or <MB>Flare or <MB>Flare
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE DF EE    ; Rand. spell: Battle or Meteo or Battle
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F3 65 00       ; Text: " Vast energy focused<D>"
FA 0C 01 00    ; Monsters palette flashes to yellow briefly
FA 0C 01 00    ; Monsters palette flashes to yellow briefly
FA 0C 01 00    ; Monsters palette flashes to yellow briefly
F1 47          ; Targeting: use normal targeting
C6             ; Flare Star
F9 02 24 04    ; VAR036 clear bit: 4
F9 02 00 00    ; VAR000 clear bit: 0
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 03 03    ; If variable VAR003 is greater than or equal to 3
F8 03 00       ; Set VAR003 to 0
F8 24 00       ; Set VAR036 to 0
F9 01 24 04    ; VAR036 set bit: 4
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 03 02    ; If variable VAR003 is greater than or equal to 2
F8 03 81       ; 1 added to VAR003
F8 24 00       ; Set VAR036 to 0
F9 01 24 03    ; VAR036 set bit: 3
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 03 01    ; If variable VAR003 is greater than or equal to 1
F8 03 81       ; 1 added to VAR003
F8 24 00       ; Set VAR036 to 0
F9 01 24 02    ; VAR036 set bit: 2
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 03 00    ; If variable VAR003 is greater than or equal to 0
F8 03 81       ; 1 added to VAR003
F8 24 00       ; Set VAR036 to 0
F9 01 24 01    ; VAR036 set bit: 1
FE             ; End If and reset targeting
F3 68 00       ; Text: " Ran basic program!<D>"
F0 EE B5 DD    ; Rand. spell: Battle or Tek Laser or Missile
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 B4 DD B5    ; Rand. spell: Atomic Ray or Missile or Tek Laser
F9 01 00 00    ; VAR000 set bit: 0
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 FE FE EE    ; Rand. spell: Nothing or Nothing or Battle
FF             ; End

[script #275]  ; orig idx=275, "Air Force", nb. bytes=141
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 01 06    ; If variable VAR001 is greater than or equal to 6
F5 02 01 08    ; Monsters #4 are killed, jumps in
B7             ; WaveCannon
F8 01 00       ; Set VAR001 to 0
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 01 05    ; If variable VAR001 is greater than or equal to 5
F3 45 00       ; Text: " Count 1!<D>"
F8 01 81       ; 1 added to VAR001
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 01 04    ; If variable VAR001 is greater than or equal to 4
F3 3C 00       ; Text: " Count 2!<D>"
F8 01 81       ; 1 added to VAR001
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 01 03    ; If variable VAR001 is greater than or equal to 3
F3 3B 00       ; Text: " Count 3!<D>"
F8 01 81       ; 1 added to VAR001
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 01 02    ; If variable VAR001 is greater than or equal to 2
F3 3A 00       ; Text: " Count 4!<D>"
F8 01 81       ; 1 added to VAR001
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 01 01    ; If variable VAR001 is greater than or equal to 1
F3 39 00       ; Text: " Count 5!<D>"
F8 01 81       ; 1 added to VAR001
FE             ; End If and reset targeting
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0D 01 00    ; If variable VAR001 is greater than or equal to 0
F5 03 00 08    ; Monsters #4 , if hidden/dead, brought in with their HP restored, from side, indiv.
FB 0B 13       ; Monster gains hidden status: Haste
F3 22 00       ; Text: " A Speck absorbs magic!<D> "
F3 38 00       ; Text: " Count 6!<D>"
F8 01 81       ; 1 added to VAR001
FE             ; End If and reset targeting
FC 13 01 02    ; If 2 monster(s) or less remain
F0 B5 B6 FE    ; Rand. spell: Tek Laser or Diffuser or Nothing
FE             ; End If and reset targeting
F0 B5 B5 FE    ; Rand. spell: Tek Laser or Tek Laser or Nothing
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FF             ; End

[script #276]  ; orig idx=276, "Tritoch", nb. bytes=7
F7 04          ; Trigger event: Vick + Wedge + Terra + Tritoch, fade to black
FB 02 00       ; Ends battle
FF             ; End first wave of attack
FF             ; End

[script #277]  ; orig idx=277, "Tritoch", nb. bytes=7
F7 12          ; Trigger event: meet w/ Tritoch, Terra reveals her true self, fade to black
FB 02 00       ; Ends battle
FF             ; End first wave of attack
FF             ; End

[script #278]  ; orig idx=278, "FlameEater", nb. bytes=225
FC 15 24 00    ; If VAR036 has all the following bit cleared: 0
F9 01 24 00    ; VAR036 set bit: 0
D8             ; Bomblet
F5 01 00 3C    ; Monsters #3, #4, #5, #6 , if hidden/dead, brought in with their HP restored, in smoke
FE             ; End If and reset targeting
FC 0B 0F 00    ; If timer has reached/passed 15 (locks timer)
FB 00 00       ; has battle timer set to 0
F8 03 81       ; 1 added to VAR003
FC 0D 03 06    ; If variable VAR003 is greater than or equal to 6
F8 03 00       ; Set VAR003 to 0
FE             ; End If and reset targeting
FC 0D 02 06    ; If variable VAR002 is greater than or equal to 6
FC 09 36 17    ; If target self is not affected by status Reflect
F1 36          ; Targeting: self
1C             ; <MG>Safe
24             ; <MG>Rflect
F8 02 00       ; Set VAR002 to 0
FE             ; End If and reset targeting
FC 15 24 01    ; If VAR036 has all the following bit cleared: 1
FC 13 01 01    ; If 1 monster(s) or less remain
FC 0D 03 05    ; If variable VAR003 is greater than or equal to 5
D8             ; Bomblet
F5 01 00 02    ; Monsters #2 , if hidden/dead, brought in with their HP restored, in smoke
F9 01 24 01    ; VAR036 set bit: 1
FE             ; End If and reset targeting
FC 15 24 01    ; If VAR036 has all the following bit cleared: 1
FC 13 01 01    ; If 1 monster(s) or less remain
FC 0D 03 04    ; If variable VAR003 is greater than or equal to 4
D8             ; Bomblet
F5 01 00 24    ; Monsters #3, #6 , if hidden/dead, brought in with their HP restored, in smoke
F9 01 24 01    ; VAR036 set bit: 1
FE             ; End If and reset targeting
FC 15 24 01    ; If VAR036 has all the following bit cleared: 1
FC 13 01 01    ; If 1 monster(s) or less remain
FC 0D 03 03    ; If variable VAR003 is greater than or equal to 3
D8             ; Bomblet
F5 01 00 3C    ; Monsters #3, #4, #5, #6 , if hidden/dead, brought in with their HP restored, in smoke
F9 01 24 01    ; VAR036 set bit: 1
FE             ; End If and reset targeting
FC 15 24 01    ; If VAR036 has all the following bit cleared: 1
FC 13 01 01    ; If 1 monster(s) or less remain
FC 0D 03 02    ; If variable VAR003 is greater than or equal to 2
D8             ; Bomblet
F5 01 00 34    ; Monsters #3, #5, #6 , if hidden/dead, brought in with their HP restored, in smoke
F9 01 24 01    ; VAR036 set bit: 1
FE             ; End If and reset targeting
FC 15 24 01    ; If VAR036 has all the following bit cleared: 1
FC 13 01 01    ; If 1 monster(s) or less remain
FC 0D 03 01    ; If variable VAR003 is greater than or equal to 1
D8             ; Bomblet
F5 01 00 28    ; Monsters #4, #6 , if hidden/dead, brought in with their HP restored, in smoke
F9 01 24 01    ; VAR036 set bit: 1
FE             ; End If and reset targeting
FC 08 36 17    ; If target self is affected by status Reflect
F0 05 09 05    ; Rand. spell: <MB>Fira or <MB>Firaga or <MB>Fira
F8 03 81       ; 1 added to VAR003
F9 02 24 01    ; VAR036 clear bit: 1
FE             ; End If and reset targeting
F0 00 FE 00    ; Rand. spell: <MB>Fire or Nothing or <MB>Fire
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 00 B3 B3    ; Rand. spell: <MB>Fire or Fire Ball or Fire Ball
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 00 B3 FE    ; Rand. spell: <MB>Fire or Fire Ball or Nothing
F9 02 24 01    ; VAR036 clear bit: 1
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FC 02 10 11    ; If monster has been attacked by spell: <MB>Demi or <MB>Quartr, will target attacker
F1 43          ; Targeting: allies
F0 11 0F 11    ; Rand. spell: <MB>Quartr or <MB>Flare or <MB>Quartr
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F8 02 81       ; 1 added to VAR002
F0 FE FE 05    ; Rand. spell: Nothing or Nothing or <MB>Fira
FF             ; End

[script #279]  ; orig idx=279, "AtmaWeapon", nb. bytes=153
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
F3 85 00       ; Text: "  cosmos.<D> Feeble creatures,<D> GO!<D>"
F9 01 24 07    ; VAR036 set bit: 7
FE             ; End If and reset targeting
FC 14 24 00    ; If VAR036 has all the following bit set: 0
F3 65 00       ; Text: " Vast energy focused<D>"
FB 0B 15       ; Monster gains hidden status: Shell
FB 0B 16       ; Monster gains hidden status: Safe
FB 0B 13       ; Monster gains hidden status: Haste
FA 0C 01 00    ; Monsters palette flashes to yellow briefly
F0 FE FE FE    ; Rand. spell: Nothing or Nothing or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FA 0C 01 00    ; Monsters palette flashes to yellow briefly
F0 FE FE FE    ; Rand. spell: Nothing or Nothing or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FA 0B 01 00    ; Monsters palette flashes to yellow
F1 47          ; Targeting: use normal targeting
C6             ; Flare Star
F9 02 24 00    ; VAR036 clear bit: 0
F9 02 24 01    ; VAR036 clear bit: 1
FE             ; End If and reset targeting
FC 06 36 30    ; If target self has less or equal than 6144 HP
F1 47          ; Targeting: use normal targeting
F0 EE 11 11    ; Rand. spell: Battle or <MB>Quartr or <MB>Quartr
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 1A 16 E4    ; Rand. spell: <MG>Rasp or <MB>W Wind or Blaze
FE             ; End If and reset targeting
FC 06 36 64    ; If target self has less or equal than 12800 HP
F1 47          ; Targeting: use normal targeting
F0 08 15 DF    ; Rand. spell: <MB>Bio or <MB>Quake or Meteo
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 EE EF EF    ; Rand. spell: Battle or Special or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 43          ; Targeting: allies
05             ; <MB>Fira
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
C4             ; Mind Blast
F9 01 24 00    ; VAR036 set bit: 0
F9 01 24 01    ; VAR036 set bit: 1
FE             ; End If and reset targeting
F0 EE 0F EE    ; Rand. spell: Battle or <MB>Flare or Battle
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 0F EE E4    ; Rand. spell: <MB>Flare or Battle or Blaze
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
FC 15 24 01    ; If VAR036 has all the following bit cleared: 1
FC 06 36 30    ; If target self has less or equal than 6144 HP
F1 47          ; Targeting: use normal targeting
F0 FE 0F FE    ; Rand. spell: Nothing or <MB>Flare or Nothing
FE             ; End If and reset targeting
FF             ; End

[script #280]  ; orig idx=280, "Nerapa", nb. bytes=60
FC 15 24 00    ; If VAR036 has all the following bit cleared: 0
F3 66 00       ; Text: " Mwa ha ha__<D>You can't run!<D>"
F1 48          ; Targeting: ally #1
8B             ; Condemned
F1 49          ; Targeting: ally #2
8B             ; Condemned
F1 4A          ; Targeting: ally #3
8B             ; Condemned
F1 4B          ; Targeting: ally #4
8B             ; Condemned
F9 01 24 00    ; VAR036 set bit: 0
FE             ; End If and reset targeting
FC 0D 00 06    ; If variable VAR000 is greater than or equal to 6
F8 00 00       ; Set VAR000 to 0
8C             ; Roulette
FE             ; End If and reset targeting
F0 EE EE 05    ; Rand. spell: Battle or Battle or <MB>Fira
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE B3 09    ; Rand. spell: Battle or Fire Ball or <MB>Firaga
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE EE 05    ; Rand. spell: Battle or Battle or <MB>Fira
FF             ; End first wave of attack
FC 01 00 00    ; If monster has been attacked by cmd: Fight or Fight, will target attacker
F0 EE FE FE    ; Rand. spell: Battle or Nothing or Nothing
F8 00 81       ; 1 added to VAR000
FF             ; End

[script #281]  ; orig idx=281, "SrBehemoth", nb. bytes=194
FC 08 36 05    ; If target self is affected by status Imp
F1 44          ; Targeting: random ally
EE             ; Battle
EE             ; Battle
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 44          ; Targeting: random ally
EE             ; Battle
EE             ; Battle
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 44          ; Targeting: random ally
EE             ; Battle
EE             ; Battle
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FC 09 36 17    ; If target self is not affected by status Reflect
F1 36          ; Targeting: self
23             ; <MG>Imp
FE             ; End If and reset targeting
FC 15 24 00    ; If VAR036 has all the following bit cleared: 0
FC 08 48 17    ; If target ally #1 is affected by status Reflect
F1 48          ; Targeting: ally #1
EF             ; Special
F3 5A 00       ; Text: " Effect of [Rflect] vanished"
F9 01 24 00    ; VAR036 set bit: 0
FE             ; End If and reset targeting
FC 15 24 00    ; If VAR036 has all the following bit cleared: 0
FC 08 49 17    ; If target ally #2 is affected by status Reflect
F1 49          ; Targeting: ally #2
EF             ; Special
F3 5A 00       ; Text: " Effect of [Rflect] vanished"
F9 01 24 00    ; VAR036 set bit: 0
FE             ; End If and reset targeting
FC 15 24 00    ; If VAR036 has all the following bit cleared: 0
FC 08 4A 17    ; If target ally #3 is affected by status Reflect
F1 4A          ; Targeting: ally #3
EF             ; Special
F3 5A 00       ; Text: " Effect of [Rflect] vanished"
F9 01 24 00    ; VAR036 set bit: 0
FE             ; End If and reset targeting
FC 15 24 00    ; If VAR036 has all the following bit cleared: 0
FC 08 4B 17    ; If target ally #4 is affected by status Reflect
F1 4B          ; Targeting: ally #4
EF             ; Special
F3 5A 00       ; Text: " Effect of [Rflect] vanished"
F9 01 24 00    ; VAR036 set bit: 0
FE             ; End If and reset targeting
FC 06 36 50    ; If target self has less or equal than 10240 HP
F1 47          ; Targeting: use normal targeting
F0 EE 0A 0A    ; Rand. spell: Battle or <MB>Blizga or <MB>Blizga
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 EE DF 0E    ; Rand. spell: Battle or Meteo or <MB>Holy
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 EE 06 DF    ; Rand. spell: Battle or <MB>Blizra or Meteo
F9 02 24 00    ; VAR036 clear bit: 0
FE             ; End If and reset targeting
F0 0E 06 FE    ; Rand. spell: <MB>Holy or <MB>Blizra or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE 0A FE    ; Rand. spell: Battle or <MB>Blizga or Nothing
F9 02 24 00    ; VAR036 clear bit: 0
FF             ; End first wave of attack
FC 12 01 00    ; If following monster is/are dead: #1
F9 01 0A 00    ; VAR010 set bit: 0
F5 0B 03 00    ; Monsters  are hidden and their HP restored, diagonal
F3 7C 00       ; Text: " Enemy's coming from behind!<D>"
FA 06 00 00    ; Allies switch from right to left side
F3 7D 00       ; Text: " Another monster appeared!<D>"
F2 00 A8 81    ; Call form. #424 (SrBehemoth), gets max HP
